sentiment,a,b,c,user,tweet
4,1556609433,Sat Apr 18 23:32:44 PDT 2009,NO_QUERY,youparkrudely,@brojoghost Cars parked in multi spaces are what we look for here. Send those pics to submit@youparkrudely.com to see them on our site 
4,1556609447,Sat Apr 18 23:32:44 PDT 2009,NO_QUERY,redrobinrockn,"@RabbiShaiSpecht So nice meeting u! Welcome! So now I'm following u 2! Look forward 2 chatting, rest well! "
4,1556609500,Sat Apr 18 23:32:45 PDT 2009,NO_QUERY,christoski,@mysteriousblog how the heck did u get first class? 747s are fun! Flew on one to Europe once 
4,1556609507,Sat Apr 18 23:32:45 PDT 2009,NO_QUERY,JSBABY24,@ShannonLeto You are gorgeous. Have a good weekend. 
4,1556609587,Sat Apr 18 23:32:46 PDT 2009,NO_QUERY,PDXvlog,"@olgakay http://twitpic.com/3l10d - WHOA!  Unexpected, way to go Olga!  "
4,1556609704,Sat Apr 18 23:32:49 PDT 2009,NO_QUERY,EmmyHildy,"@vladmech aww, thanks hun  I'm glad I wasn't killed too..."
4,1556609738,Sat Apr 18 23:32:49 PDT 2009,NO_QUERY,wendywings,@audaciousgloop so you are the man now  Have fun with the follow backs. 
4,1556609785,Sat Apr 18 23:32:50 PDT 2009,NO_QUERY,iamkhayyam,@emilwisch Mr. Brojangles - hahaha... just noticed the bro in there  Stellar name.
4,1556609794,Sat Apr 18 23:32:50 PDT 2009,NO_QUERY,pandaCANdance,I think you should listen to 'Grim Goodbye' by RJA. 
4,1556609800,Sat Apr 18 23:32:50 PDT 2009,NO_QUERY,nerdwriter,@fatherforgiveus it's one of my favorites as well 
4,1556609807,Sat Apr 18 23:32:50 PDT 2009,NO_QUERY,niassac,I have a crappy schedule this week but am in high spirits after a little pep talk today from lulu.  
4,1556609886,Sat Apr 18 23:32:52 PDT 2009,NO_QUERY,cookiemonster82,@internetfruit hey K!funny inappropriate 
4,1556609898,Sat Apr 18 23:32:51 PDT 2009,NO_QUERY,MyLoveIsAmazing,@fabuloustoccara I agree with you on that one...gotta love him 
4,1556609928,Sat Apr 18 23:32:52 PDT 2009,NO_QUERY,xIdax,handball final @ 10.30 
4,1556610036,Sat Apr 18 23:32:54 PDT 2009,NO_QUERY,draykh,"@unwoman w00t! awesome! btw, thoroughly enjoyed Blossoms and just ordered Trouble... "
4,1556610081,Sat Apr 18 23:32:54 PDT 2009,NO_QUERY,stephaniieee14,@esabas thank you awesome stranger for being my 40th follower 
4,1556610094,Sat Apr 18 23:32:54 PDT 2009,NO_QUERY,shazing18,ploughing through assignments but looking fwd to tonight 
4,1556610104,Sat Apr 18 23:32:55 PDT 2009,NO_QUERY,sooejay,@Muckyfingers yayyy  see you soon x x
4,1556610142,Sat Apr 18 23:32:58 PDT 2009,NO_QUERY,BaseballGrl10,@thekirsten I wanna watch!  i wanna watch!  And Joey and Donnie can pack a punch for me anytime!  Hehehe.  
4,1556610157,Sat Apr 18 23:32:56 PDT 2009,NO_QUERY,nicoletteistall,I quit I quit I quit : http://tinyurl.com/csesdm omg tc5 new song! v v happy 
4,1556610200,Sat Apr 18 23:32:57 PDT 2009,NO_QUERY,scotthockens,so come say hello! 
4,1556610221,Sat Apr 18 23:32:57 PDT 2009,NO_QUERY,electricv01,Just watched &quot;The 5 Doctors.&quot;  It was actully pretty good.  
4,1556610226,Sat Apr 18 23:32:57 PDT 2009,NO_QUERY,maynaseric,"@jshe  *closes eyes* hehe , btw how's your day so far ?"
4,1556610277,Sat Apr 18 23:32:58 PDT 2009,NO_QUERY,Newg69,"@ijuanes More shirts?? Sure I can try, I'll have to get some assistance.  I'll see what I can work out."
4,1556610321,Sat Apr 18 23:32:58 PDT 2009,NO_QUERY,EdgarVerona,@BrokenAngel You are an achievement-gaining machine BA! 
4,1556610323,Sat Apr 18 23:32:58 PDT 2009,NO_QUERY,tonkaaaa,"@youngfreshnew thank you,  &amp;&amp; my goodness yes! i can't wait til the summer, even tho i'm going to summer school but it'll be less stress"
4,1556610324,Sat Apr 18 23:32:59 PDT 2009,NO_QUERY,DaveScouller,@paulmartinsmith maybe someone has put security on your contacts 
4,1556610342,Sat Apr 18 23:33:00 PDT 2009,NO_QUERY,xoxoptree,going to bed goodnite every1 be on 2morrow 
4,1556610380,Sat Apr 18 23:32:59 PDT 2009,NO_QUERY,clrumbaugh,"Okay, I know I'm somewhere in #TheAgee5k, but I don't know where. Was it seriously 6 hours? I'll watch... just wondering "
4,1556610439,Sat Apr 18 23:33:00 PDT 2009,NO_QUERY,nigs,@poohsuke It's good to know you have family with you in Honolulu. It's started very cool here today  3C right now but 18C later maybe 
4,1556610496,Sat Apr 18 23:33:01 PDT 2009,NO_QUERY,christinajade,@pammiebegood scary! i had to get past that number quickly! it wigged me out! 
4,1556610502,Sat Apr 18 23:33:01 PDT 2009,NO_QUERY,lofosho,@ThePortablePeif I don't think you're allowed to say &quot;blow up&quot; twice in one day 
4,1556610509,Sat Apr 18 23:33:01 PDT 2009,NO_QUERY,phylicia2214,@chrizzotl I'm great  thanks for asking
4,1556610557,Sat Apr 18 23:33:02 PDT 2009,NO_QUERY,MacSheikh,"I'm baaack! That was a super-delicious lunch,Alhamdulillah! "
4,1556610576,Sat Apr 18 23:33:02 PDT 2009,NO_QUERY,lizinzunza,Night twittys off to dream bout hubby 
4,1556610613,Sat Apr 18 23:33:03 PDT 2009,NO_QUERY,TheDuchessofArt,"@blankbareclean np, I needed to hear that too  Keep up the great work on ur blog...I'm a fan!"
4,1556610617,Sat Apr 18 23:33:03 PDT 2009,NO_QUERY,DecisiveDesign,@youarefoxy don't be a panzy 
4,1556610659,Sat Apr 18 23:33:04 PDT 2009,NO_QUERY,elysiabrooker,@rosscarrel Yeah awesome! Definitely get your butt here. Andrew really wants to catch up! We should be here Monday too so come say hi 
4,1556610700,Sat Apr 18 23:33:04 PDT 2009,NO_QUERY,lindsita726,"@ramereth @MickHD As disgusting as it looks, it tastes quite good  Including the Motrin (tropical punch flavor!) lol"
4,1556610703,Sat Apr 18 23:33:04 PDT 2009,NO_QUERY,Bizcuits,@IAmBeeAye oh well thats good to know I might have to make a trip just to see what different kind of drinks they have lls 
4,1556610719,Sat Apr 18 23:33:04 PDT 2009,NO_QUERY,djghostusa,"I'm back home with a buzz. Good weekend, can't complain.  Now I'm goin to bed. nite Twitts "
4,1556610726,Sat Apr 18 23:33:07 PDT 2009,NO_QUERY,TayaSpringsteen,not quite awake yet hopefully the lovely engines of formula one cars will wake me up 
4,1556610757,Sat Apr 18 23:33:05 PDT 2009,NO_QUERY,gearheadsgirl,going to bed 
4,1556610826,Sat Apr 18 23:33:08 PDT 2009,NO_QUERY,carlwiman,getting ready for tomorrow 
4,1556610839,Sat Apr 18 23:33:06 PDT 2009,NO_QUERY,OHOWFUN,@craftyellen3 I don't even wanna know what the smell is.  I'm not brave enough to even go there..... 
4,1556610851,Sat Apr 18 23:33:07 PDT 2009,NO_QUERY,tiffanyll,@TheAnge   mess...smdh...
4,1556610868,Sat Apr 18 23:33:07 PDT 2009,NO_QUERY,kaylanicream,@DeHere what u making public again? Go slow.ly. I'm drunks. Sorry ... 
4,1556610879,Sat Apr 18 23:33:07 PDT 2009,NO_QUERY,EmmyHildy,"@princessatan  now, bedtime and I'm SLEEPING IN."
4,1556626142,Sat Apr 18 23:37:08 PDT 2009,NO_QUERY,Gordie_Rogers,@chrispirillo He spelled 'moron' incorrectly while you spelled 'douche bag' incorrectly  You can't stop the hate on YouTube. Just ignore.
4,1556626172,Sat Apr 18 23:37:09 PDT 2009,NO_QUERY,Rebecca_Bourque,@DavidHowell thanks!!  It was a great day 
4,1556626291,Sat Apr 18 23:37:11 PDT 2009,NO_QUERY,babbyyyemmalee,"you should use twitter from your phone, its very exciting "
4,1556626307,Sat Apr 18 23:37:11 PDT 2009,NO_QUERY,yosoyian,I need to be sleeping right now but once again I'm sitll awake 
4,1556626356,Sat Apr 18 23:37:12 PDT 2009,NO_QUERY,princesstimetoy,@theothermousie I love cupcakes   Can't help myself!
4,1556626406,Sat Apr 18 23:37:13 PDT 2009,NO_QUERY,Jackyah333,@askseesmic @JaqStone @karmasherbs @helpbusinesses @nyproperty4sale  thanks so much for the nods 
4,1556626501,Sat Apr 18 23:37:14 PDT 2009,NO_QUERY,Dogfessions,"@SophietheCocker Wardrobes are often made of cheese, so you can eat them. "
4,1556626579,Sat Apr 18 23:37:15 PDT 2009,NO_QUERY,thirkill,"Arrived at London Heathrow, now the drive to Yorkshire   http://twitpic.com/3l188"
